1,Ábelová,Ábelová,985 13,33,1
2,Abovce,Abovce,980 44,53,1
3,Abrahám,Abrahám,925 45,16,7
4,Abrahámovce,Abrahámovce,059 72,21,5
5,Abrahámovce,Abrahámovce,086 41,4,5
6,Abramová,Abramová,038 22,71,8
7,Abranovce,Abranovce,082 52,49,5
8,Adamovské Kochanovce,Adamovské Kochanovce,913 05,69,6
9,Adidovce,Adidovce,067 32,19,5
10,Albínov,Albínov,078 01,68,3
11,Alekšince,Alekšince,951 22,40,4
12,Alexandrov Dvor,Alexandrov Dvor,951 34,40,4
13,Albetin Dvor,Albetin Dvor,900 42,57,2
14,Amadeho Kraèany,Amadeho Kraèany,930 03,15,7
15,Aòala,Aòala,946 51,22,4
16,Aòalské Záhrady,Aòalské Záhrady,946 51,22,4
17,Andaè,Andaè,951 42,40,4
18,Andice,Andice,031 01,32,8
19,Andovce,Andovce,941 23,42,4
20,Andrejová,Andrejová,086 37,4,5
21,Andrejovka,Andrejovka,065 43,63,5
22,Arad,Arad,943 42,42,4
23,Ardanovce,Ardanovce,956 06,67,4
24,Ardovo,Ardovo,049 55,54,3
25,Arma,Arma,935 41,30,4
26,Arnutovce,Arnutovce,053 13,62,3
27,Báb,Báb,951 34,40,4
28,Babie,Babie,094 31,74,5
29,Babín,Babín,029 52,39,8
30,Babin Potok,Babin Potok,082 67,49,5
31,Babiná,Babiná,962 61,76,1
32,Babindol,Babindol,951 53,40,4
33,Babinec,Babinec,980 26,53,1
34,Babiše,Babiše,013 54,11,8
35,Babkov,Babkov,013 11,79,8
36,Babulicov Vrch,Babulicov Vrch,916 13,38,6
37,Bacúch,Bacúch,976 64,10,1
38,Bacúrov,Bacúrov,962 61,76,1
39,Báè,Báè,930 30,15,7
40,Baèala,Baèala,951 15,40,4
41,Baèka,Baèka,076 84,68,3
42,Baèkov,Baèkov,076 61,68,3
43,Baèkovík,Baèkovík,044 45,27,3
44,Báèovce,Báèovce,962 68,28,1
45,Baïan,Baïan,969 01,3,1
46,Bádice,Bádice,951 46,40,4
47,Badín,Badín,976 32,2,1
48,Báhoò,Báhoò,900 84,44,2
49,Bajany,Bajany,072 54,37,3
50,Bajè,Bajè,946 54,22,4
51,Bajerov,Bajerov,082 41,49,5
52,Bajerovce,Bajerovce,082 73,56,5
53,Bajka,Bajka,935 51,30,4
54,Bajtava,Bajtava,943 65,42,4
55,Baka,Baka,930 04,15,7
56,Bakta,Bakta,979 01,53,1
57,Baláe,Baláe,976 11,2,1
58,Baldovce,Baldovce,053 04,31,5
59,Balog nad Ip¾om,Balog nad Ip¾om,991 11,73,1
60,Baloò,Baloò,930 08,15,7
61,Balvany,Balvany,946 01,22,4
62,Baòa,Baòa,091 01,64,5
63,Baòa Lucia,Baòa Lucia,044 25,27,3
64,Banka,Banka,921 01,45,7
65,Banky,Banky,969 01,3,1
66,Banky,Banky,972 25,50,6
67,Bánov,Bánov,941 01,42,4
68,Bánová,Bánová,010 04,79,8
69,Bánovce nad Bebravou,Bánovce nad Bebravou,,1,6
70,Bánovce nad Ondavou,Bánovce nad Ondavou,072 04,37,3
71,Banská,Banská,972 48,50,6
72,Banská Belá,Banská Belá,966 15,3,1
73,Banská Bystrica,Banská Bystrica,,2,1
74,Banská Hodruša,Banská Hodruša,966 63,77,1
75,Banská Štiavnica,Banská Štiavnica,,3,1
76,Banské,Banské,094 12,74,5
77,Banskı Studenec,Banskı Studenec,969 01,3,1
78,Bara,Bara,076 32,68,3
79,Barca,Barca,982 51,53,1
80,Bardejov,Bardejov,085 01,4,5
81,Bardejovská Nová Ves,Bardejovská Nová Ves,085 01,4,5
82,Bardejovská Zábava,Bardejovská Zábava,085 01,4,5
83,Bardejovské Kúpele,Bardejovské Kúpele,086 31,4,5
84,Bardoòovo,Bardoòovo,941 49,42,4
85,Bartošova Lehôtka,Bartošova Lehôtka,967 01,78,1
86,Bartošovce,Bartošovce,086 42,4,5
87,Baška,Baška,040 16,27,3
88,Baškovce,Baškovce,067 23,19,5
89,Baškovce,Baškovce,073 01,61,3
90,Bašovce,Bašovce,922 01,45,7
91,Baštín,Baštín,956 18,43,6
92,Batizovce,Batizovce,059 35,47,5
93,Bátka,Bátka,980 21,53,1
94,Bátorová,Bátorová,991 26,73,1
95,Bátorove Kosihy,Bátorove Kosihy,946 34,22,4
96,Bátovce,Bátovce,935 03,30,4
97,Beckov,Beckov,916 38,41,6
98,Beckovská Vieska,Beckovská Vieska,916 31,41,6
99,Beèov,Beèov,974 01,2,1
100,Beharovce,Beharovce,053 05,31,5
101,Behynce,Behynce,956 07,67,4
102,Behynce,Behynce,982 01,52,1
103,Becherov,Becherov,086 35,4,5
104,Beketfa,Beketfa,930 34,15,7
105,Belá,Belá,013 05,79,8
106,Belá,Belá,943 53,42,4
107,Belá - Dulice,Belá - Dulice,038 11,35,8
108,Belá nad Cirochou,Belá nad Cirochou,067 81,60,5
109,Beladice,Beladice,951 75,75,4
110,Belejov,Belejov,018 03,48,6
111,Belejovce,Belejovce,089 01,65,5
112,Belek,Belek,941 48,42,4
113,Belín,Belín,980 01,53,1
114,Belina,Belina,986 01,33,1
115,Belince,Belince,956 12,67,4
116,Bellova Ves,Bellova Ves,930 52,15,7
117,Belovea,Belovea,086 14,4,5
118,Beluj,Beluj,969 01,3,1
119,Beluša,Beluša,018 61,51,6
120,Bela,Bela,044 58,27,3
121,Beòadiková,Beòadiková,032 04,32,8
122,Beòadikovce,Beòadikovce,090 42,65,5
123,Beòadovo,Beòadovo,029 63,39,8
124,Beòatina,Beòatina,072 64,61,3
125,Beniakovce,Beniakovce,044 42,27,3
126,Benice,Benice,031 01,32,8
127,Benice,Benice,038 42,35,8
128,Benkova Potôò,Benkova Potôò,930 36,15,7
129,Benkovce,Benkovce,094 02,74,5
130,Beòov,Beòov,014 01,11,8
131,Beòova Lehota,Beòova Lehota,026 01,14,8
132,Beòuš,Beòuš,976 64,10,1
133,Beòušovce,Beòušovce,031 01,32,8
134,Bernátovce,Bernátovce,044 13,27,3
135,Bernolákovo,Bernolákovo,900 27,57,2
136,Bertotovce,Bertotovce,082 35,49,5
137,Besné,Besné,018 02,48,6
138,Beša,Beša,076 72,37,3
139,Beša,Beša,935 36,30,4
140,Bešeòov,Bešeòov,941 41,42,4
141,Bešeòová,Bešeòová,034 83,55,8
142,Betlanovce,Betlanovce,053 15,62,3
143,Betlenovce,Betlenovce,071 01,37,3
144,Betliar,Betliar,049 21,54,3
145,Bezdedov - Vieska,Bezdedov - Vieska,020 01,51,6
146,Beovce,Beovce,072 53,61,3
147,Bidovce,Bidovce,044 45,27,3
148,Biel,Biel,076 41,68,3
149,Biela,Biela,027 05,14,8
150,Biela Voda,Biela Voda,972 29,50,6
151,Biele Vody,Biele Vody,053 76,62,3
152,Biele Vody,Biele Vody,976 53,10,1
153,Bielovce,Bielovce,935 74,30,4
154,Biely Kostol,Biely Kostol,919 34,70,7
155,Biely Potok,Biely Potok,034 03,55,8
156,Bijacovce,Bijacovce,053 06,31,5
157,Bílkove Humence,Bílkove Humence,908 77,58,7
158,Bíòa,Bíòa,943 56,42,4
159,Bindt,Bindt,053 32,62,3
160,Bíòovce,Bíòovce,919 07,70,7
161,Biskupice,Biskupice,911 01,69,6
162,Biskupice,Biskupice,957 01,1,6
163,Biskupice,Biskupice,986 01,33,1
164,Biskupová,Biskupová,956 07,67,4
165,Bitarová,Bitarová,010 04,79,8
166,Blahová,Blahová,930 52,15,7
167,Blatná na Ostrove,Blatná na Ostrove,930 32,15,7
168,Blatná Polianka,Blatná Polianka,072 44,61,3
169,Blatné,Blatné,900 82,57,2
170,Blatné Remety,Blatné Remety,072 44,61,3
171,Blatné Revištia,Blatné Revištia,072 43,61,3
172,Blatnica,Blatnica,038 15,35,8
173,Blaice,Blaice,044 16,27,3
174,Blakov,Blakov,023 02,12,8
175,Blaková,Blaková,023 11,12,8
176,Blaovce,Blaovce,038 44,71,8
177,Blesovce,Blesovce,956 01,67,4
178,Blhovce,Blhovce,980 32,53,1
179,Bobot,Bobot,913 25,69,6
180,Bobotská Lehota,Bobotská Lehota,913 25,69,6
181,Bobrov,Bobrov,029 42,39,8
182,Bobrovèek,Bobrovèek,032 21,32,8
183,Bobrovec,Bobrovec,032 21,32,8
184,Bobrovník,Bobrovník,032 23,32,8
185,Boèiar,Boèiar,044 57,27,3
186,Bodice,Bodice,031 01,32,8
187,Bodíky,Bodíky,930 31,15,7
188,Bodiná,Bodiná,018 15,48,6
189,Bodok,Bodok,956 08,67,4
190,Bodorová,Bodorová,038 45,71,8
191,Bodov,Bodov,903 01,57,2
192,Bodovce,Bodovce,082 66,56,5
193,Bodovka - Krivosúd,Bodovka - Krivosúd,913 11,69,6
194,Bodrual,Bodrual,090 05,65,5
195,Bodza,Bodza,946 16,22,4
196,Bodzianske Lúky,Bodzianske Lúky,946 14,22,4
197,Bogliarka,Bogliarka,086 04,4,5
198,Bohatá,Bohatá,947 03,22,4
199,Bohdanovce,Bohdanovce,044 16,27,3
200,Bohdanovce nad Trnavou,Bohdanovce n/Trnavou,919 09,70,7
201,Bohe¾ov,Bohe¾ov,929 01,15,7
202,Bohunice,Bohunice,018 52,20,6
203,Bohunice,Bohunice,919 30,70,7
204,Bohunice,Bohunice,935 05,30,4
205,Bohúòovo,Bohúòovo,049 12,54,3
206,Bojná,Bojná,956 01,67,4
207,Bojnice,Bojnice,972 01,50,6
208,Bojnice - kúpele,Bojnice - kúpele,972 01,50,6
